label,file_name,url
"Agriculture","Agriculture.pdf","https://www.finance.gov.pk/survey/chapters_17/02-Agriculture.pdf"
"Annex I Nfis","Annex_I_Nfis.pdf","https://www.finance.gov.pk/survey/chapters_17/Annex_I_NFIS.pdf"
"Annex Ii Eco","Annex_Ii_Eco.pdf","https://www.finance.gov.pk/survey/chapters_17/Annex_II_ECO.pdf"
"Annex Iii Cpec","Annex_Iii_Cpec.pdf","https://www.finance.gov.pk/survey/chapters_17/Annex_III_CPEC.pdf"
"Annex Iv War","Annex_Iv_War.pdf","https://www.finance.gov.pk/survey/chapters_17/Annex_IV_War.pdf"
"Annex V Contingent","Annex_V_Contingent.pdf","https://www.finance.gov.pk/survey/chapters_17/Annex_V_Contingent.pdf"
"Annex Vi Tax Expenditure","Annex_Vi_Tax_Expenditure.pdf","https://www.finance.gov.pk/survey/chapters_17/Annex%20VI%20Tax%20Expenditure.pdf"
"Captial Markets","Captial_Markets.pdf","https://www.finance.gov.pk/survey/chapters_17/06-Captial_Markets.pdf"
"Climate Change","Climate_Change.pdf","https://www.finance.gov.pk/survey/chapters_17/16-Climate_change.pdf"
"Economic Indicators","Economic_Indicators.pdf","https://www.finance.gov.pk/survey/chapters_17/Economic_Indicators.pdf"
"Education","Education.pdf","https://www.finance.gov.pk/survey/chapters_17/10-Education.pdf"
"Energy","Energy.pdf","https://www.finance.gov.pk/survey/chapters_17/14-Energy.pdf"
"Fiscal","Fiscal.pdf","https://www.finance.gov.pk/survey/chapters_17/04-Fiscal.pdf"
"Growth","Growth.pdf","https://www.finance.gov.pk/survey/chapters_17/01-Growth.pdf"
"Health","Health.pdf","https://www.finance.gov.pk/survey/chapters_17/11-Health.pdf"
"Inflation","Inflation.pdf","https://www.finance.gov.pk/survey/chapters_17/07-Inflation.pdf"
"Manufacturing","Manufacturing.pdf","https://www.finance.gov.pk/survey/chapters_17/03-Manufacturing.pdf"
"Money And Credit","Money_And_Credit.pdf","https://www.finance.gov.pk/survey/chapters_17/05-Money_and_Credit.pdf"
"Overview 2016 17","Overview_2016_17.pdf","https://www.finance.gov.pk/survey/chapters_17/overview_2016-17.pdf"
"Pakistan Es 2016 17 Pdf","Pakistan_Es_2016_17_Pdf.pdf","https://www.finance.gov.pk/survey/chapters_17/Pakistan_ES_2016_17_pdf.pdf"
"Population","Population.pdf","https://www.finance.gov.pk/survey/chapters_17/12-Population.pdf"
"Public Debt","Public_Debt.pdf","https://www.finance.gov.pk/survey/chapters_17/09-Public_Debt.pdf"
"Social Safety Nets","Social_Safety_Nets.pdf","https://www.finance.gov.pk/survey/chapters_17/15-Social_Safety_Nets.pdf"
"Statistical Supplement","Statistical_Supplement.zip","https://www.finance.gov.pk/supplement_2016_17.zip"
"Supplement 2017 18","Supplement_2017_18.pdf","https://www.finance.gov.pk/Supplement_2017_18.pdf"
"Supplement 2018 19","Supplement_2018_19.pdf","https://www.finance.gov.pk/Supplement_2018_19.pdf"
"Supplement 2019 20","Supplement_2019_20.pdf","https://www.finance.gov.pk/Supplement_2019_20.pdf"
"Supplement 2020 21","Supplement_2020_21.pdf","https://www.finance.gov.pk/Supplement_2020_21.pdf"
"Supplement 2021 22","Supplement_2021_22.pdf","https://www.finance.gov.pk/supplement_2021_22.pdf"
"Trade","Trade.pdf","https://www.finance.gov.pk/survey/chapters_17/08-Trade.pdf"
"Transport And Communications","Transport_And_Communications.pdf","https://www.finance.gov.pk/survey/chapters_17/13-Transport_and_Communications.pdf"
